x,y
-4.50E-01,-1.47E-21
-4.49E-01,-1.40E-21
-4.49E-01,-1.32E-21
-4.49E-01,-1.24E-21
-4.49E-01,-1.15E-21
-4.48E-01,-1.06E-21
-4.48E-01,-9.70E-22
-4.48E-01,-8.72E-22
-4.48E-01,-7.70E-22
-4.48E-01,-6.64E-22
-4.47E-01,-5.55E-22
-4.47E-01,-4.43E-22
-4.47E-01,-3.28E-22
-4.47E-01,-2.11E-22
-4.46E-01,-9.15E-23
-4.46E-01,2.98E-23
-4.46E-01,1.53E-22
-4.46E-01,2.77E-22
-4.45E-01,4.01E-22
-4.45E-01,5.27E-22
-4.45E-01,6.52E-22
-4.45E-01,7.78E-22
-4.44E-01,9.03E-22
-4.44E-01,1.03E-21
-4.44E-01,1.15E-21
-4.44E-01,1.27E-21
-4.43E-01,1.39E-21
-4.43E-01,1.51E-21
-4.43E-01,1.62E-21
-4.43E-01,1.73E-21
-4.42E-01,1.84E-21
-4.42E-01,1.94E-21
-4.42E-01,2.04E-21
-4.42E-01,2.14E-21
-4.41E-01,2.23E-21
-4.41E-01,2.32E-21
-4.41E-01,2.40E-21
-4.41E-01,2.47E-21
-4.40E-01,2.54E-21
-4.40E-01,2.60E-21
-4.40E-01,2.66E-21
-4.40E-01,2.71E-21
-4.39E-01,2.75E-21
-4.39E-01,2.79E-21
-4.39E-01,2.81E-21
-4.39E-01,2.83E-21
-4.38E-01,2.85E-21
-4.38E-01,2.85E-21
-4.38E-01,2.85E-21
-4.38E-01,2.84E-21
-4.38E-01,2.82E-21
-4.37E-01,2.80E-21
-4.37E-01,2.76E-21
-4.37E-01,2.72E-21
-4.37E-01,2.67E-21
-4.36E-01,2.61E-21
-4.36E-01,2.55E-21
-4.36E-01,2.47E-21
-4.36E-01,2.39E-21
-4.35E-01,2.30E-21
-4.35E-01,2.21E-21
-4.35E-01,2.10E-21
-4.35E-01,1.99E-21
-4.34E-01,1.87E-21
-4.34E-01,1.75E-21
-4.34E-01,1.62E-21
-4.34E-01,1.48E-21
-4.33E-01,1.34E-21
-4.33E-01,1.19E-21
-4.33E-01,1.04E-21
-4.33E-01,8.85E-22
-4.32E-01,7.24E-22
-4.32E-01,5.58E-22
-4.32E-01,3.90E-22
-4.32E-01,2.18E-22
-4.31E-01,4.35E-23
-4.31E-01,-1.33E-22
-4.31E-01,-3.12E-22
-4.31E-01,-4.91E-22
-4.30E-01,-6.72E-22
-4.30E-01,-8.52E-22
-4.30E-01,-1.03E-21
-4.30E-01,-1.21E-21
-4.29E-01,-1.39E-21
-4.29E-01,-1.57E-21
-4.29E-01,-1.74E-21
-4.29E-01,-1.92E-21
-4.28E-01,-2.08E-21
-4.28E-01,-2.25E-21
-4.28E-01,-2.41E-21
-4.28E-01,-2.57E-21
-4.27E-01,-2.72E-21
-4.27E-01,-2.86E-21
-4.27E-01,-3.00E-21
-4.27E-01,-3.14E-21
-4.27E-01,-3.26E-21
-4.26E-01,-3.38E-21
-4.26E-01,-3.49E-21
-4.26E-01,-3.60E-21
-4.26E-01,-3.69E-21
-4.25E-01,-3.78E-21
-4.25E-01,-3.85E-21
-4.25E-01,-3.92E-21
-4.25E-01,-3.98E-21
-4.24E-01,-4.02E-21
-4.24E-01,-4.06E-21
-4.24E-01,-4.09E-21
-4.24E-01,-4.10E-21
-4.23E-01,-4.11E-21
-4.23E-01,-4.10E-21
-4.23E-01,-4.09E-21
-4.23E-01,-4.06E-21
-4.22E-01,-4.02E-21
-4.22E-01,-3.97E-21
-4.22E-01,-3.91E-21
-4.22E-01,-3.83E-21
-4.21E-01,-3.75E-21
-4.21E-01,-3.65E-21
-4.21E-01,-3.55E-21
-4.21E-01,-3.43E-21
-4.20E-01,-3.31E-21
-4.20E-01,-3.17E-21
-4.20E-01,-3.02E-21
-4.20E-01,-2.86E-21
-4.19E-01,-2.70E-21
-4.19E-01,-2.52E-21
-4.19E-01,-2.34E-21
-4.19E-01,-2.15E-21
-4.18E-01,-1.95E-21
-4.18E-01,-1.74E-21
-4.18E-01,-1.53E-21
-4.18E-01,-1.31E-21
-4.17E-01,-1.08E-21
-4.17E-01,-8.52E-22
-4.17E-01,-6.16E-22
-4.17E-01,-3.76E-22
-4.17E-01,-1.32E-22
-4.16E-01,1.14E-22
-4.16E-01,3.63E-22
-4.16E-01,6.14E-22
-4.16E-01,8.65E-22
-4.15E-01,1.12E-21
-4.15E-01,1.37E-21
-4.15E-01,1.62E-21
-4.15E-01,1.87E-21
-4.14E-01,2.11E-21
-4.14E-01,2.36E-21
-4.14E-01,2.60E-21
-4.14E-01,2.83E-21
-4.13E-01,3.06E-21
-4.13E-01,3.29E-21
-4.13E-01,3.51E-21
-4.13E-01,3.72E-21
-4.12E-01,3.92E-21
-4.12E-01,4.12E-21
-4.12E-01,4.30E-21
-4.12E-01,4.48E-21
-4.11E-01,4.65E-21
-4.11E-01,4.80E-21
-4.11E-01,4.95E-21
-4.11E-01,5.08E-21
-4.10E-01,5.21E-21
-4.10E-01,5.31E-21
-4.10E-01,5.41E-21
-4.10E-01,5.49E-21
-4.09E-01,5.56E-21
-4.09E-01,5.62E-21
-4.09E-01,5.66E-21
-4.09E-01,5.69E-21
-4.08E-01,5.70E-21
-4.08E-01,5.70E-21
-4.08E-01,5.68E-21
-4.08E-01,5.65E-21
-4.07E-01,5.60E-21
-4.07E-01,5.53E-21
-4.07E-01,5.46E-21
-4.07E-01,5.36E-21
-4.06E-01,5.25E-21
-4.06E-01,5.13E-21
-4.06E-01,4.99E-21
-4.06E-01,4.84E-21
-4.06E-01,4.67E-21
-4.05E-01,4.49E-21
-4.05E-01,4.30E-21
-4.05E-01,4.09E-21
-4.05E-01,3.87E-21
-4.04E-01,3.64E-21
-4.04E-01,3.39E-21
-4.04E-01,3.13E-21
-4.04E-01,2.87E-21
-4.03E-01,2.59E-21
-4.03E-01,2.31E-21
-4.03E-01,2.01E-21
-4.03E-01,1.71E-21
-4.02E-01,1.40E-21
-4.02E-01,1.08E-21
-4.02E-01,7.57E-22
-4.02E-01,4.28E-22
-4.01E-01,9.61E-23
-4.01E-01,-2.40E-22
-4.01E-01,-5.78E-22
-4.01E-01,-9.18E-22
-4.00E-01,-1.26E-21
-4.00E-01,-1.60E-21
-4.00E-01,-1.94E-21
-4.00E-01,-2.28E-21
-3.99E-01,-2.61E-21
